date,open,high,low,close,volume,turnover,transactions,price_change
20140716,52.2,52.9,52.1,52.6,7575393,398043902,3525,0.0
20140717,52.7,53.3,51.9,52.1,3866826,202746210,2096,-0.5
20140718,51.6,52.1,51.3,51.5,3222166,166576143,1645,-0.6
20140721,51.7,52.0,51.4,51.6,2540153,131092396,1444,0.1
20140722,51.8,52.0,51.5,51.9,3307681,170905223,1608,0.3
20140724,52.0,52.4,51.7,51.8,2344441,121815562,1270,-0.1
20140725,51.9,52.3,51.5,51.7,2486588,128610184,1497,-0.1
20140728,51.7,51.9,50.8,51.0,3796956,194442732,1855,-0.7
20140729,51.1,51.5,48.65,49.3,6115016,304656368,2637,-1.7
20140730,49.8,51.1,49.8,50.2,5206335,262176944,2865,0.9
20140731,50.2,50.5,48.85,49.1,5840654,288593943,2850,-1.1
20140801,48.0,49.4,47.8,49.3,3825959,186257668,1826,0.2
20140804,49.3,49.7,49.0,49.4,1563550,77332475,810,0.1
20140805,49.4,49.4,48.1,48.6,3522221,171486591,2374,-0.8
20140806,48.7,49.05,46.9,47.75,4600753,219004694,2703,-0.85
20140807,47.95,48.15,47.2,47.3,2832417,134789693,1637,-0.45
20140808,47.0,47.3,46.3,46.8,2741104,128043515,1580,-0.5
20140811,47.0,48.6,47.0,48.5,2995169,143890240,1798,1.7
20140812,49.0,49.85,48.95,48.95,4832600,238668560,2581,0.45
20140813,49.0,49.2,48.7,49.15,1539171,75289999,957,0.2
20140814,49.5,49.85,48.55,48.55,3440213,169503951,1792,-0.6
20140815,48.55,50.3,48.55,50.3,6187967,307820928,3251,1.75
20140818,50.6,50.8,49.7,49.9,3899080,195016650,2070,-0.4
20140819,50.0,50.3,49.35,49.8,3465234,172949150,2039,-0.1
20140820,50.3,51.3,50.1,50.9,6734572,342327434,3282,1.1
20140821,51.0,51.0,49.7,50.1,4234828,212690411,2135,-0.8
20140822,50.5,50.6,50.1,50.1,2821215,141782565,1625,0.0
20140825,50.1,50.8,50.1,50.3,2131480,107485892,1389,0.2
20140826,50.4,51.1,50.3,50.5,3307990,168213190,1714,0.2
20140827,51.0,51.7,50.7,51.4,5304929,272301842,2504,0.9
20140828,52.0,52.8,51.5,51.5,7084358,368973166,3334,0.1
20140829,51.2,51.5,50.8,51.3,2226194,113920586,1220,-0.2
20140901,51.5,52.1,51.3,51.3,2228166,115104409,1185,0.0
20140902,52.0,52.2,51.4,51.4,4180110,216516976,2356,0.1
20140903,51.5,51.7,50.1,50.8,3914081,198542208,2402,-0.6
20140904,50.3,51.0,50.3,50.3,1507865,76237068,916,-0.5
20140905,50.5,50.8,50.3,50.8,1462472,73889475,862,0.5
20140909,51.1,51.2,50.1,50.2,1539403,77753927,912,-0.6
20140910,50.1,50.2,49.45,50.0,2082299,103575226,1188,-0.2
20140911,50.0,50.4,49.8,49.8,1259951,63048846,815,-0.2
20140912,50.0,50.1,49.1,49.2,1798518,88797933,1039,-0.6
20140915,48.7,49.6,48.7,48.9,1411791,69333174,904,-0.3
20140916,49.0,49.1,48.35,48.5,1893762,92116652,1056,-0.4
20140917,48.75,49.35,48.75,49.15,1302151,63986811,864,0.65
20140918,49.3,49.5,49.0,49.25,890645,43926160,548,0.1
20140919,49.6,51.6,49.6,51.6,5400720,274479141,2651,2.35
20140922,51.6,52.0,51.0,51.0,6946908,357969616,3268,-0.6
20140923,51.2,51.4,50.6,50.6,2434402,123911719,1407,-0.4
20140924,50.5,51.4,50.5,50.5,2898545,147484824,1506,-0.1
20140925,51.0,51.2,50.1,50.5,2543772,128774355,1526,0.0
20140926,50.1,51.0,49.75,50.5,3393049,170933265,1758,0.0
20140929,50.9,52.4,50.5,52.2,9893378,511920441,4626,1.7
20140930,52.1,52.1,51.1,51.8,4612306,238121038,2501,-0.4
20141001,51.5,51.9,50.9,50.9,3388016,173808007,1772,-0.9
20141002,50.5,51.4,50.4,51.1,2660470,135629462,1498,0.2
20141003,51.6,53.2,51.5,52.6,14904211,784280989,6818,1.5
20141006,52.9,52.9,52.3,52.5,4566432,240146474,2272,-0.1
20141007,52.1,52.3,51.7,52.1,2949652,153530929,1619,-0.4
20141008,51.8,52.3,51.5,51.5,3331853,172683626,1545,-0.6
20141009,52.2,52.7,50.3,50.9,4441423,228668180,2251,-0.6
20141013,48.1,48.8,47.6,47.8,5700193,274175607,2875,-3.1
20141014,47.8,48.3,47.45,47.95,3030634,145287791,1515,0.15
20141015,48.0,48.6,47.1,47.2,3584060,170652087,1951,-0.75
20141016,46.4,46.95,44.3,46.6,4918402,224826994,2497,-0.6
20141017,47.4,47.4,45.7,46.15,3296520,152977521,1552,-0.45
20141020,47.35,47.35,46.85,46.9,1403006,65975278,855,0.75
20141021,47.2,47.45,46.8,47.0,1397221,65743437,851,0.1
20141022,47.95,47.95,47.0,47.1,2333498,110425601,1323,0.1
20141023,47.0,47.55,47.0,47.0,1255640,59227295,709,-0.1
20141024,47.2,47.3,46.3,46.45,1307194,60987310,808,-0.55
20141027,46.8,46.8,44.7,45.0,2256277,102257884,1216,-1.45
20141028,45.6,46.5,45.5,46.5,1786747,82106530,1118,1.5
20141029,46.8,48.0,46.7,47.8,3024495,144058949,1812,1.3
20141030,47.8,48.0,47.25,48.0,1320753,62979344,772,0.2
20141031,48.0,48.3,47.7,48.1,1562676,75052492,944,0.1
20141103,48.5,49.4,48.25,48.65,3391345,165667163,1927,0.55
20141104,48.95,49.0,48.55,48.7,1346238,65641031,819,0.05
20141105,48.9,49.0,48.2,48.3,1288898,62428600,870,-0.4
20141106,48.3,48.5,47.6,47.8,1501840,72204786,1110,-0.5
20141107,48.0,48.4,47.8,48.05,1063220,51158051,805,0.25
20141110,48.1,48.5,47.8,47.8,2064390,99153204,1352,-0.25
20141111,47.9,48.0,46.95,47.15,2867430,135565311,1586,-0.65
20141112,46.55,46.9,46.35,46.65,2259570,105246471,1397,-0.5
20141113,46.65,47.05,45.9,46.3,2483205,115252439,1381,-0.35
20141114,46.3,46.3,45.35,45.55,3093700,141175250,1706,-0.75
20141117,45.9,45.9,45.25,45.35,1317600,59953596,858,-0.2
20141118,45.45,45.8,44.75,44.85,1745347,78540165,1013,-0.5
20141119,45.0,45.4,41.9,42.2,8581974,371302336,3729,-2.65
20141120,42.1,43.35,42.1,43.35,6029733,257500852,2969,1.15
20141121,43.5,43.8,43.1,43.8,2478701,107948821,1476,0.45
20141124,44.3,44.45,43.85,43.9,2146482,94796101,1199,0.1
20141125,43.9,44.0,43.45,43.6,1551460,67868521,913,-0.3
20141126,43.6,44.2,43.5,43.8,1438266,63225521,784,0.2
20141127,43.9,44.6,43.9,44.4,3217014,143476417,1418,0.6
20141128,44.5,44.65,43.7,43.9,2414766,106208240,1206,-0.5
20141201,43.0,44.3,42.9,43.75,1658487,72425795,889,-0.15
20141202,43.75,44.0,43.5,43.7,2431600,106409200,1112,-0.05
20141203,43.8,44.65,43.8,44.35,3887011,172228731,1752,0.65
20141204,44.7,44.9,44.15,44.5,3725765,166038418,1688,0.15
20141205,44.7,44.9,44.25,44.65,3976409,177682080,1810,0.15
20141208,44.7,44.8,43.75,43.9,3170808,140290821,1654,-0.75
20141209,43.6,44.6,43.6,44.6,2876104,127324694,1590,0.7
20141210,44.45,45.6,44.45,44.75,4194402,189040055,2246,0.15
20141211,44.5,45.0,44.3,44.55,1525604,68241049,990,-0.2
20141212,44.9,45.35,44.8,45.25,2516610,113600698,1402,0.7
20141215,45.0,46.65,44.95,46.1,6581456,302698664,3627,0.85
20141216,46.2,46.5,45.5,45.5,4014282,183901927,2252,-0.6
20141217,45.75,45.8,44.55,44.55,2880510,129466250,1744,-0.95
20141218,45.2,45.5,44.5,44.5,2947972,132622851,1589,-0.05
20141219,45.15,45.25,43.85,44.1,3234555,144328930,1549,-0.4
20141222,44.1,44.95,44.1,44.85,1516103,67828441,701,0.75
20141223,45.0,45.3,44.9,45.15,1536160,69271529,818,0.3
20141224,45.25,45.75,45.25,45.35,2545924,115938743,1298,0.2
20141225,45.45,45.95,45.4,45.55,1542554,70466382,838,0.2
20141226,45.75,45.95,45.35,45.6,1664578,75890151,885,0.05
20141227,45.7,47.15,45.7,47.15,6046649,281554461,2937,1.55
20141229,47.35,47.8,47.05,47.05,6340015,300590498,3070,-0.1
20141230,47.05,47.25,46.35,46.65,3078471,143910215,1419,-0.4
20141231,46.5,48.1,46.45,48.05,5359305,255136465,2315,1.4
20150105,48.05,48.05,47.45,47.7,2684038,128190273,1431,-0.35
20150106,47.05,47.4,46.8,47.0,2681960,126212661,1478,-0.7
20150107,47.0,48.2,46.95,48.0,3886546,185841778,2201,1.0
20150108,49.0,49.15,48.55,48.55,9051944,441773176,3633,0.55
20150109,49.9,49.9,49.0,49.0,9296054,460149676,4284,0.45
20150112,49.3,49.3,48.3,48.6,2649180,129069228,1528,-0.4
20150113,48.2,49.3,48.2,49.2,2885738,140957104,1335,0.6
20150114,49.8,49.8,48.8,48.8,2285593,112100166,1244,-0.4
20150115,49.0,49.45,48.7,48.7,2415078,118290343,1251,-0.1
20150116,48.7,49.1,48.0,48.0,2587767,124837416,1488,-0.7
20150119,48.5,48.7,47.3,47.4,1929233,92323780,1092,-0.6
20150120,47.6,49.25,47.6,49.0,5270811,257286289,2970,1.6
20150121,49.2,49.25,48.3,48.5,2976181,145047324,1638,-0.5
20150122,48.6,49.5,48.55,48.9,3262255,159992815,1640,0.4
20150123,49.5,49.5,48.55,48.55,2643856,129417246,1351,-0.35
20150126,48.55,48.9,48.5,48.6,1136556,55349370,630,0.05
20150127,49.2,49.3,48.7,48.7,1866989,91500407,1033,0.1
20150128,48.4,49.1,48.3,48.55,1761582,85780428,1055,-0.15
20150129,48.55,49.15,48.55,48.7,1671039,81645157,927,0.15
20150130,49.1,50.0,48.65,49.8,7140194,354284752,3258,1.1
20150202,50.3,51.3,50.0,50.4,13688102,693478927,6268,0.6
20150203,51.2,52.4,51.0,51.9,16564006,856970788,7386,1.5
20150204,53.0,53.5,52.2,52.2,14851160,785028840,6698,0.3
20150205,52.6,53.0,52.2,52.6,6359955,334287420,3038,0.4
20150206,52.7,52.9,51.5,51.7,5705421,295910492,3000,-0.9
20150209,52.3,52.8,51.5,52.3,4375411,228681427,2273,0.6
20150210,52.3,52.8,51.8,52.0,3635261,189881572,1957,-0.3
20150211,52.2,52.4,51.3,51.3,3500257,181173717,2057,-0.7
20150212,51.3,52.1,51.0,52.0,3352317,172861610,1851,0.7
20150213,52.5,52.6,51.6,51.6,4847477,252550000,2450,-0.4
20150224,52.0,52.3,51.3,51.8,3106009,161039042,1547,0.2
20150225,52.0,53.3,51.6,53.2,11178792,591517026,5055,1.4
20150226,53.2,53.4,52.4,53.2,7864132,417240513,3812,0.0
20150302,53.5,53.9,52.8,53.5,7913786,423024227,3560,0.3
20150303,53.9,55.0,53.5,54.7,13054772,708522485,5853,1.2
20150304,54.9,55.0,54.0,54.1,13254261,720673179,6497,-0.6
20150305,54.0,54.3,53.6,54.0,6762569,365112270,3225,-0.1
20150306,54.0,55.2,53.9,54.8,11980733,657053545,5957,0.8
20150309,54.5,54.9,54.2,54.6,5568200,303595724,2883,-0.2
