stock_id,name,template,is_current,is_new_best,n_trades,win_rate,pf,max_dd,im_cagr,fill_rate,expectancy,score
1560,中砂,bollinger_squeeze,False,False,14,0.5,1.333,-0.0989,0.1061,1.0,0.0073,3.611
1802,台玻,low_vol_pullback,True,True,16,0.6875,3.986,-0.053,0.9556,0.941,0.037,11.293
1802,台玻,mean_reversion,False,False,5,0.4,0.722,-0.038,-0.2735,1.0,-0.0076,
1802,台玻,donchian_breakout,False,False,24,0.375,2.826,-0.1473,1.386,1.0,0.0532,9.095
1802,台玻,trend_pullback,False,False,14,0.2143,0.791,-0.1098,-0.1499,0.556,-0.0051,
1802,台玻,momentum_hold,False,False,24,0.1667,1.441,-0.3195,0.0174,0.96,0.0275,4.639
1802,台玻,volume_breakout,False,False,34,0.4118,2.441,-0.139,0.9745,1.0,0.044,8.68
1802,台玻,bollinger_squeeze,False,False,21,0.4762,3.466,-0.1346,1.8007,1.0,0.0681,10.713
1809,中釉,low_vol_pullback,False,True,20,0.9,3.128,-0.0152,2.0231,1.0,0.0124,9.524
1809,中釉,mean_reversion,False,False,22,0.3182,0.872,-0.0702,-0.1109,1.0,-0.0037,
1809,中釉,donchian_breakout,True,False,26,0.3077,0.432,-0.103,-0.6502,1.0,-0.0236,
1809,中釉,trend_pullback,False,False,8,0.25,0.506,-0.0367,-0.1877,0.8,-0.0119,
1809,中釉,momentum_hold,False,False,34,0.2059,0.782,-0.1167,-0.1985,0.773,-0.0063,
1809,中釉,volume_breakout,False,False,45,0.2667,0.465,-0.163,-0.6238,1.0,-0.0196,
1809,中釉,bollinger_squeeze,False,False,16,0.25,0.371,-0.0385,-0.5036,1.0,-0.0162,
2308,台達電,low_vol_pullback,True,False,26,0.6154,2.232,-0.0888,0.4341,0.929,0.0248,7.356
2308,台達電,mean_reversion,False,False,12,0.5,2.251,-0.131,0.5799,1.0,0.0298,5.773
2308,台達電,donchian_breakout,False,True,36,0.4722,3.42,-0.1875,0.3554,0.947,0.0747,12.349
2308,台達電,trend_pullback,False,False,13,0.2308,0.486,-0.2427,-0.2847,0.481,-0.016,
2308,台達電,momentum_hold,False,False,34,0.1765,0.699,-0.2721,-0.1082,0.854,-0.0065,
2308,台達電,volume_breakout,False,False,18,0.5,3.445,-0.179,0.9355,1.0,0.0863,10.144
2308,台達電,bollinger_squeeze,False,False,11,0.4545,2.741,-0.0744,0.3434,1.0,0.0309,6.81
2317,鴻海,low_vol_pullback,False,False,16,0.375,0.32,-0.3699,-0.5507,1.0,-0.0231,
2317,鴻海,mean_reversion,False,False,31,0.4516,0.483,-0.4264,-0.3496,0.886,-0.0127,
